,Driveline,Height
192,Front-wheel drive,208
193,Front-wheel drive,208
194,Front-wheel drive,208
195,Front-wheel drive,208
196,Front-wheel drive,208
197,Front-wheel drive,208
198,Front-wheel drive,208
199,Front-wheel drive,208
200,Front-wheel drive,208
201,Front-wheel drive,208
202,Front-wheel drive,208
203,Front-wheel drive,208
204,Front-wheel drive,139
205,Front-wheel drive,139
206,All-wheel drive,213
207,Front-wheel drive,213
208,All-wheel drive,175
209,Front-wheel drive,175
210,All-wheel drive,175
211,All-wheel drive,66
212,Front-wheel drive,66
213,Front-wheel drive,247
214,Front-wheel drive,247
215,Front-wheel drive,139
216,Front-wheel drive,139
217,Front-wheel drive,191
218,Front-wheel drive,191
219,Front-wheel drive,191
220,Front-wheel drive,191
221,Front-wheel drive,191
222,Front-wheel drive,186
223,Front-wheel drive,186
224,Front-wheel drive,186
225,Front-wheel drive,191
226,Front-wheel drive,191
227,Front-wheel drive,247
228,Front-wheel drive,247
229,All-wheel drive,175
230,All-wheel drive,175
231,Front-wheel drive,175
232,All-wheel drive,193
233,Front-wheel drive,218
234,All-wheel drive,124
235,All-wheel drive,109
236,All-wheel drive,99
237,Front-wheel drive,208
238,Front-wheel drive,208
239,Front-wheel drive,208
240,Front-wheel drive,208
241,All-wheel drive,109
242,All-wheel drive,109
243,All-wheel drive,117
244,Rear-wheel drive,210
245,Front-wheel drive,186
246,Front-wheel drive,186
247,Front-wheel drive,186
248,Front-wheel drive,186
249,Front-wheel drive,186
250,Rear-wheel drive,13
251,All-wheel drive,101
252,All-wheel drive,103
253,Rear-wheel drive,102
254,Rear-wheel drive,104
255,All-wheel drive,92
256,All-wheel drive,92
257,Rear-wheel drive,61
258,All-wheel drive,92
259,All-wheel drive,92
260,All-wheel drive,92
261,All-wheel drive,92
262,All-wheel drive,92
263,Rear-wheel drive,43
264,Rear-wheel drive,13
265,Front-wheel drive,195
266,Rear-wheel drive,102
267,Front-wheel drive,195
268,Front-wheel drive,195
269,Front-wheel drive,195
270,Front-wheel drive,195
271,Front-wheel drive,195
272,Front-wheel drive,195
273,Front-wheel drive,195
274,Front-wheel drive,195
275,Front-wheel drive,195
276,Rear-wheel drive,102
277,Rear-wheel drive,61
278,Rear-wheel drive,43
279,Front-wheel drive,172
280,Front-wheel drive,172
281,Front-wheel drive,172
282,Front-wheel drive,172
283,Front-wheel drive,172
284,Front-wheel drive,172
285,Front-wheel drive,172
286,Front-wheel drive,172
287,Front-wheel drive,172
288,Front-wheel drive,172
289,Front-wheel drive,172
290,Front-wheel drive,172
291,Front-wheel drive,186
292,Front-wheel drive,186
293,Front-wheel drive,186
294,Front-wheel drive,186
295,Front-wheel drive,186
296,Front-wheel drive,186
297,Front-wheel drive,186
298,Front-wheel drive,186
299,Rear-wheel drive,19
300,Four-wheel drive,37
301,Four-wheel drive,37
302,All-wheel drive,188
303,All-wheel drive,179
304,Front-wheel drive,177
305,Front-wheel drive,177
306,Front-wheel drive,177
307,Front-wheel drive,177
308,Front-wheel drive,177
309,Front-wheel drive,177
310,Front-wheel drive,177
311,Front-wheel drive,177
312,Front-wheel drive,177
313,Front-wheel drive,177
314,Front-wheel drive,177
315,Front-wheel drive,177
316,Front-wheel drive,177
317,Front-wheel drive,177
318,Front-wheel drive,177
319,Front-wheel drive,177
320,Front-wheel drive,177
321,Rear-wheel drive,19
322,Four-wheel drive,37
323,Four-wheel drive,37
324,Front-wheel drive,194
325,Front-wheel drive,194
326,Four-wheel drive,194
327,Front-wheel drive,224
328,Front-wheel drive,224
329,Four-wheel drive,224
330,Front-wheel drive,224
331,Four-wheel drive,224
332,Front-wheel drive,194
333,Front-wheel drive,194
334,Four-wheel drive,194
335,Front-wheel drive,224
336,Four-wheel drive,224
337,Front-wheel drive,224
338,Four-wheel drive,224
339,Front-wheel drive,224
340,Four-wheel drive,224
341,Front-wheel drive,132
342,Front-wheel drive,132
343,Four-wheel drive,132
344,Four-wheel drive,88
345,Four-wheel drive,88
346,Front-wheel drive,13
347,Front-wheel drive,13
348,Front-wheel drive,13
349,Front-wheel drive,13
350,All-wheel drive,24
351,Rear-wheel drive,38
352,Rear-wheel drive,38
353,Rear-wheel drive,1
354,Rear-wheel drive,38
355,Rear-wheel drive,1
356,Rear-wheel drive,38
357,Rear-wheel drive,38
358,Rear-wheel drive,38
359,Rear-wheel drive,38
360,Rear-wheel drive,38
361,Rear-wheel drive,38
362,Rear-wheel drive,38
363,Rear-wheel drive,38
364,Front-wheel drive,13
365,Front-wheel drive,13
366,Front-wheel drive,13
367,Front-wheel drive,13
368,All-wheel drive,24
369,Front-wheel drive,23
370,Front-wheel drive,23
371,Front-wheel drive,13
372,Four-wheel drive,189
373,Four-wheel drive,189
374,Four-wheel drive,189
375,Rear-wheel drive,168
376,Rear-wheel drive,168
377,Rear-wheel drive,168
378,Front-wheel drive,223
379,Front-wheel drive,223
380,Front-wheel drive,223
381,Front-wheel drive,223
382,Front-wheel drive,223
383,Front-wheel drive,223
384,Front-wheel drive,223
385,Front-wheel drive,226
386,Front-wheel drive,226
387,Front-wheel drive,226
388,Front-wheel drive,226
389,Front-wheel drive,226
390,Front-wheel drive,137
391,Front-wheel drive,137
392,Front-wheel drive,137
393,Front-wheel drive,137
394,All-wheel drive,179
395,All-wheel drive,179
396,Front-wheel drive,226
397,Front-wheel drive,226
398,Front-wheel drive,226
399,Front-wheel drive,226
400,Front-wheel drive,226
401,All-wheel drive,179
402,All-wheel drive,198
403,All-wheel drive,198
404,All-wheel drive,140
405,All-wheel drive,180
406,All-wheel drive,191
407,Four-wheel drive,189
408,Four-wheel drive,189
409,Rear-wheel drive,168
410,Rear-wheel drive,168
411,Rear-wheel drive,168
412,Four-wheel drive,189
413,All-wheel drive,164
414,All-wheel drive,164
415,Front-wheel drive,115
416,Front-wheel drive,115
417,Front-wheel drive,115
418,Front-wheel drive,115
419,All-wheel drive,117
420,All-wheel drive,117
421,All-wheel drive,117
422,All-wheel drive,117
423,Front-wheel drive,135
424,Front-wheel drive,135
425,Four-wheel drive,135
426,All-wheel drive,117
427,All-wheel drive,117
428,Front-wheel drive,117
429,Front-wheel drive,117
430,Front-wheel drive,117
431,Front-wheel drive,117
432,Front-wheel drive,117
433,Front-wheel drive,117
434,Front-wheel drive,117
435,Front-wheel drive,117
436,All-wheel drive,201
437,All-wheel drive,201
438,All-wheel drive,201
439,Rear-wheel drive,141
440,Front-wheel drive,226
441,Front-wheel drive,226
442,Front-wheel drive,226
443,Front-wheel drive,226
444,Front-wheel drive,226
445,Rear-wheel drive,195
446,All-wheel drive,195
447,Rear-wheel drive,195
448,All-wheel drive,195
449,Four-wheel drive,141
450,Four-wheel drive,159
451,Front-wheel drive,170
452,Front-wheel drive,170
453,Front-wheel drive,170
454,Front-wheel drive,170
455,Rear-wheel drive,195
456,All-wheel drive,195
457,Rear-wheel drive,195
458,All-wheel drive,195
459,Front-wheel drive,190
460,Front-wheel drive,190
461,Front-wheel drive,190
462,Front-wheel drive,190
463,Front-wheel drive,190
464,Front-wheel drive,190
465,Front-wheel drive,190
466,Front-wheel drive,190
467,Front-wheel drive,190
468,Front-wheel drive,190
469,Front-wheel drive,170
470,Front-wheel drive,170
471,Front-wheel drive,190
472,Front-wheel drive,190
473,Front-wheel drive,190
474,Front-wheel drive,190
475,Front-wheel drive,210
476,Front-wheel drive,210
477,Front-wheel drive,210
478,Front-wheel drive,210
479,All-wheel drive,201
480,All-wheel drive,201
481,All-wheel drive,201
482,All-wheel drive,201
483,All-wheel drive,201
484,All-wheel drive,201
485,Front-wheel drive,148
486,Four-wheel drive,148
487,Front-wheel drive,148
488,Four-wheel drive,148
489,Front-wheel drive,148
490,Four-wheel drive,148
491,Front-wheel drive,148
492,Four-wheel drive,148
493,Front-wheel drive,208
494,Four-wheel drive,208
495,Front-wheel drive,208
496,Four-wheel drive,208
497,Front-wheel drive,115
498,Front-wheel drive,115
499,Front-wheel drive,172
500,Rear-wheel drive,109
501,Rear-wheel drive,109
502,Rear-wheel drive,109
503,Rear-wheel drive,109
504,Rear-wheel drive,109
505,Rear-wheel drive,109
506,Rear-wheel drive,109
507,Rear-wheel drive,109
508,Front-wheel drive,33
509,Front-wheel drive,33
510,Rear-wheel drive,109
511,Rear-wheel drive,109
512,Rear-wheel drive,109
513,Rear-wheel drive,109
514,Rear-wheel drive,109
515,Rear-wheel drive,109
516,Rear-wheel drive,109
517,Rear-wheel drive,109
518,Rear-wheel drive,150
519,Rear-wheel drive,150
520,Rear-wheel drive,150
521,Rear-wheel drive,132
522,Rear-wheel drive,132
523,Rear-wheel drive,132
524,Rear-wheel drive,132
525,Rear-wheel drive,96
526,Rear-wheel drive,96
527,Rear-wheel drive,96
528,Rear-wheel drive,96
529,Rear-wheel drive,96
530,Rear-wheel drive,96
531,Rear-wheel drive,96
532,Rear-wheel drive,96
533,Rear-wheel drive,96
534,Rear-wheel drive,96
535,All-wheel drive,150
536,Rear-wheel drive,165
537,Front-wheel drive,155
538,Front-wheel drive,155
539,Front-wheel drive,155
540,Front-wheel drive,155
541,Front-wheel drive,155
542,Front-wheel drive,155
543,Front-wheel drive,155
544,Front-wheel drive,155
545,Front-wheel drive,155
546,Front-wheel drive,155
547,Front-wheel drive,200
548,Front-wheel drive,200
549,Front-wheel drive,200
550,Front-wheel drive,200
551,Front-wheel drive,200
552,Front-wheel drive,162
553,Front-wheel drive,162
554,Front-wheel drive,162
555,Front-wheel drive,162
556,Front-wheel drive,162
557,Front-wheel drive,162
558,All-wheel drive,162
559,Front-wheel drive,162
560,All-wheel drive,162
561,Front-wheel drive,137
562,Front-wheel drive,137
563,All-wheel drive,137
564,Front-wheel drive,165
565,Front-wheel drive,165
566,Front-wheel drive,165
567,Front-wheel drive,165
568,Front-wheel drive,165
569,All-wheel drive,165
570,Front-wheel drive,165
571,All-wheel drive,165
572,Front-wheel drive,165
573,Front-wheel drive,165
574,Front-wheel drive,165
575,Front-wheel drive,165
576,Front-wheel drive,165
577,Front-wheel drive,165
578,Front-wheel drive,165
579,Front-wheel drive,165
580,All-wheel drive,165
581,Front-wheel drive,165
582,All-wheel drive,165
583,Front-wheel drive,165
584,Front-wheel drive,180
585,Front-wheel drive,180
586,Front-wheel drive,180
587,Front-wheel drive,180
588,All-wheel drive,201
589,Front-wheel drive,180
590,Front-wheel drive,180
591,Front-wheel drive,180
592,Front-wheel drive,180
593,Front-wheel drive,119
594,Front-wheel drive,119
595,Front-wheel drive,119
596,Front-wheel drive,119
597,All-wheel drive,228
598,All-wheel drive,228
599,Front-wheel drive,180
600,Front-wheel drive,180
601,Front-wheel drive,180
602,Front-wheel drive,180
603,Front-wheel drive,180
604,Front-wheel drive,180
605,Front-wheel drive,180
606,All-wheel drive,228
607,All-wheel drive,228
608,Front-wheel drive,238
609,Front-wheel drive,238
610,Front-wheel drive,238
611,Front-wheel drive,238
612,Front-wheel drive,238
613,Front-wheel drive,238
614,Front-wheel drive,238
615,Front-wheel drive,238
616,Front-wheel drive,238
617,Front-wheel drive,238
618,Front-wheel drive,238
619,Front-wheel drive,238
620,Front-wheel drive,238
621,Front-wheel drive,238
622,Rear-wheel drive,210
623,Rear-wheel drive,210
624,Rear-wheel drive,200
625,Rear-wheel drive,195
626,Rear-wheel drive,200
627,Front-wheel drive,119
628,Front-wheel drive,119
629,Front-wheel drive,119
630,Front-wheel drive,119
631,Front-wheel drive,175
632,Front-wheel drive,175
633,Front-wheel drive,175
634,Front-wheel drive,175
635,Front-wheel drive,175
636,Front-wheel drive,117
637,Front-wheel drive,117
638,Front-wheel drive,117
639,Front-wheel drive,117
640,Front-wheel drive,117
641,Front-wheel drive,117
642,Front-wheel drive,117
643,Front-wheel drive,117
644,Front-wheel drive,117
645,Front-wheel drive,170
646,Front-wheel drive,200
647,Front-wheel drive,200
648,Front-wheel drive,200
649,Front-wheel drive,200
650,Front-wheel drive,200
651,Front-wheel drive,200
652,Front-wheel drive,190
653,Front-wheel drive,190
654,Front-wheel drive,190
655,Rear-wheel drive,195
656,Rear-wheel drive,200
657,Rear-wheel drive,200
658,Rear-wheel drive,195
659,Rear-wheel drive,104
660,Rear-wheel drive,104
661,Rear-wheel drive,104
662,Rear-wheel drive,104
663,Rear-wheel drive,104
664,Rear-wheel drive,104
665,Rear-wheel drive,104
666,Rear-wheel drive,104
667,Rear-wheel drive,104
668,Rear-wheel drive,104
669,Rear-wheel drive,104
670,Rear-wheel drive,104
671,Rear-wheel drive,104
672,Rear-wheel drive,104
673,Rear-wheel drive,104
674,Rear-wheel drive,104
675,Rear-wheel drive,104
676,Rear-wheel drive,104
677,Rear-wheel drive,104
678,Rear-wheel drive,104
679,Rear-wheel drive,104
680,Rear-wheel drive,104
681,Rear-wheel drive,104
682,Rear-wheel drive,104
683,Rear-wheel drive,104
684,Rear-wheel drive,104
685,Rear-wheel drive,104
686,Rear-wheel drive,104
687,Rear-wheel drive,157
688,Front-wheel drive,188
689,Front-wheel drive,188
690,Rear-wheel drive,137
691,Rear-wheel drive,137
692,Rear-wheel drive,137
693,Rear-wheel drive,137
694,Rear-wheel drive,137
695,Rear-wheel drive,137
696,Rear-wheel drive,137
697,Rear-wheel drive,137
698,Rear-wheel drive,119
699,All-wheel drive,165
700,Rear-wheel drive,137
701,Rear-wheel drive,137
702,Rear-wheel drive,137
703,Rear-wheel drive,137
704,Rear-wheel drive,137
705,Rear-wheel drive,137
706,Rear-wheel drive,137
707,Rear-wheel drive,137
708,Rear-wheel drive,144
709,Rear-wheel drive,144
710,Rear-wheel drive,144
711,Rear-wheel drive,144
712,Rear-wheel drive,137
713,Rear-wheel drive,137
714,Rear-wheel drive,137
715,Rear-wheel drive,137
716,Rear-wheel drive,144
717,Rear-wheel drive,144
718,Rear-wheel drive,144
719,Rear-wheel drive,144
720,Rear-wheel drive,137
721,Rear-wheel drive,137
722,Rear-wheel drive,137
723,Rear-wheel drive,137
724,Rear-wheel drive,150
725,Rear-wheel drive,157
726,All-wheel drive,165
727,Rear-wheel drive,165
728,Rear-wheel drive,150
729,Rear-wheel drive,150
730,Front-wheel drive,190
731,Front-wheel drive,190
732,Front-wheel drive,190
733,Front-wheel drive,190
734,Front-wheel drive,190
735,Front-wheel drive,190
736,Front-wheel drive,188
737,Front-wheel drive,190
738,Front-wheel drive,190
739,Front-wheel drive,190
740,Front-wheel drive,190
741,Front-wheel drive,190
742,Front-wheel drive,74
743,Front-wheel drive,74
744,Front-wheel drive,74
745,Front-wheel drive,74
746,Front-wheel drive,74
747,Rear-wheel drive,96
748,Rear-wheel drive,96
749,Rear-wheel drive,96
750,Rear-wheel drive,96
751,Rear-wheel drive,96
752,Rear-wheel drive,96
753,Rear-wheel drive,96
754,Rear-wheel drive,96
755,Rear-wheel drive,96
756,Rear-wheel drive,96
757,Rear-wheel drive,96
758,Rear-wheel drive,132
759,Rear-wheel drive,132
760,Rear-wheel drive,132
761,Rear-wheel drive,132
762,Rear-wheel drive,132
763,Rear-wheel drive,132
764,Rear-wheel drive,132
765,Rear-wheel drive,132
766,Front-wheel drive,74
767,Front-wheel drive,74
768,Front-wheel drive,74
769,Front-wheel drive,74
770,Front-wheel drive,74
771,Front-wheel drive,74
772,Front-wheel drive,74
773,Rear-wheel drive,144
774,Rear-wheel drive,144
775,Rear-wheel drive,144
776,Rear-wheel drive,144
777,Rear-wheel drive,144
778,Rear-wheel drive,144
779,Rear-wheel drive,144
780,Rear-wheel drive,144
781,All-wheel drive,228
782,All-wheel drive,228
783,Front-wheel drive,224
784,Front-wheel drive,239
785,Rear-wheel drive,127
786,Rear-wheel drive,119
787,Rear-wheel drive,139
788,Rear-wheel drive,104
789,Rear-wheel drive,104
790,Rear-wheel drive,139
791,Front-wheel drive,24
792,Front-wheel drive,36
793,Front-wheel drive,224
794,Front-wheel drive,224
795,Front-wheel drive,224
796,All-wheel drive,220
797,Front-wheel drive,188
798,All-wheel drive,220
799,Front-wheel drive,173
800,Front-wheel drive,173
801,All-wheel drive,173
802,Front-wheel drive,173
803,All-wheel drive,173
804,Front-wheel drive,173
805,All-wheel drive,173
806,Front-wheel drive,173
807,All-wheel drive,173
808,Front-wheel drive,163
809,All-wheel drive,163
810,All-wheel drive,126
811,Rear-wheel drive,96
812,Rear-wheel drive,96
813,Rear-wheel drive,96
814,Rear-wheel drive,96
815,Rear-wheel drive,96
816,Rear-wheel drive,96
817,Rear-wheel drive,96
818,Rear-wheel drive,96
819,Rear-wheel drive,96
820,Rear-wheel drive,96
821,All-wheel drive,147
822,Front-wheel drive,173
823,Front-wheel drive,173
824,All-wheel drive,173
825,Front-wheel drive,208
826,All-wheel drive,208
827,Front-wheel drive,208
828,All-wheel drive,208
829,Front-wheel drive,208
830,All-wheel drive,208
831,Front-wheel drive,198
832,All-wheel drive,198
833,Front-wheel drive,99
834,Front-wheel drive,99
835,All-wheel drive,99
836,Front-wheel drive,99
837,All-wheel drive,99
838,Front-wheel drive,99
839,All-wheel drive,99
840,Front-wheel drive,200
841,Front-wheel drive,200
842,Front-wheel drive,200
843,Front-wheel drive,99
844,Front-wheel drive,99
845,All-wheel drive,99
846,Front-wheel drive,99
847,All-wheel drive,99
848,Front-wheel drive,99
849,All-wheel drive,99
850,All-wheel drive,126
851,Front-wheel drive,158
852,Front-wheel drive,158
853,Four-wheel drive,158
854,Front-wheel drive,158
855,Four-wheel drive,158
856,Front-wheel drive,158
857,Four-wheel drive,158
858,Front-wheel drive,155
859,Front-wheel drive,117
860,Front-wheel drive,155
861,Front-wheel drive,155
862,Front-wheel drive,155
863,Front-wheel drive,155
864,Front-wheel drive,155
865,Front-wheel drive,155
866,Front-wheel drive,155
867,Front-wheel drive,155
868,Front-wheel drive,155
869,Front-wheel drive,155
870,Front-wheel drive,155
871,Front-wheel drive,155
872,Rear-wheel drive,41
873,Rear-wheel drive,41
874,Four-wheel drive,52
875,Four-wheel drive,52
876,Rear-wheel drive,36
877,Four-wheel drive,52
878,Rear-wheel drive,41
879,Four-wheel drive,54
880,Four-wheel drive,52
881,Front-wheel drive,188
882,All-wheel drive,188
883,All-wheel drive,188
884,Front-wheel drive,188
885,All-wheel drive,188
886,Front-wheel drive,188
887,Front-wheel drive,188
888,Front-wheel drive,188
889,All-wheel drive,188
890,Front-wheel drive,188
891,Front-wheel drive,188
892,All-wheel drive,188
893,All-wheel drive,188
894,Front-wheel drive,188
895,Front-wheel drive,188
896,All-wheel drive,188
897,Front-wheel drive,188
898,Front-wheel drive,188
899,Front-wheel drive,5
900,Front-wheel drive,5
901,All-wheel drive,5
902,Front-wheel drive,5
903,All-wheel drive,5
904,Front-wheel drive,5
905,Front-wheel drive,5
906,All-wheel drive,5
907,Front-wheel drive,5
908,All-wheel drive,5
909,Front-wheel drive,5
910,Front-wheel drive,5
911,All-wheel drive,5
912,Front-wheel drive,5
913,All-wheel drive,5
914,Front-wheel drive,200
915,Front-wheel drive,200
916,Front-wheel drive,200
917,Front-wheel drive,200
918,Front-wheel drive,200
919,Front-wheel drive,165
920,Front-wheel drive,165
921,All-wheel drive,165
922,Front-wheel drive,165
923,All-wheel drive,165
924,Front-wheel drive,165
925,All-wheel drive,165
926,Front-wheel drive,200
927,Front-wheel drive,200
928,All-wheel drive,89
929,All-wheel drive,89
930,Front-wheel drive,165
931,Front-wheel drive,165
932,All-wheel drive,165
933,Front-wheel drive,165
934,All-wheel drive,165
935,Front-wheel drive,165
936,All-wheel drive,165
937,Front-wheel drive,165
938,Front-wheel drive,165
939,Front-wheel drive,165
940,All-wheel drive,165
941,Front-wheel drive,165
942,All-wheel drive,165
943,Front-wheel drive,165
944,All-wheel drive,165
945,All-wheel drive,92
946,All-wheel drive,92
947,Front-wheel drive,165
948,Front-wheel drive,165
949,Front-wheel drive,165
950,All-wheel drive,89
951,All-wheel drive,89
952,All-wheel drive,169
953,All-wheel drive,169
954,Front-wheel drive,155
955,Front-wheel drive,155
956,Front-wheel drive,155
957,Front-wheel drive,155
958,Front-wheel drive,155
959,Front-wheel drive,155
960,Front-wheel drive,155
961,Front-wheel drive,155
962,Front-wheel drive,155
963,Front-wheel drive,155
964,Front-wheel drive,155
965,Front-wheel drive,155
966,Front-wheel drive,155
967,Rear-wheel drive,212
968,Rear-wheel drive,212
969,Rear-wheel drive,212
970,Rear-wheel drive,212
971,Rear-wheel drive,212
972,Rear-wheel drive,212
973,Rear-wheel drive,212
974,Rear-wheel drive,212
975,Rear-wheel drive,212
976,Rear-wheel drive,223
977,Rear-wheel drive,223
978,Rear-wheel drive,223
979,Rear-wheel drive,223
980,Rear-wheel drive,223
981,Rear-wheel drive,223
982,Rear-wheel drive,223
983,Rear-wheel drive,223
984,Four-wheel drive,52
985,Rear-wheel drive,36
986,Rear-wheel drive,41
987,Four-wheel drive,52
988,Four-wheel drive,54
989,Four-wheel drive,52
990,Rear-wheel drive,41
991,Front-wheel drive,214
992,Front-wheel drive,214
993,Front-wheel drive,214
994,Front-wheel drive,214
995,Rear-wheel drive,41
996,Four-wheel drive,52
997,Four-wheel drive,52
998,Four-wheel drive,54
999,Rear-wheel drive,36
1000,Four-wheel drive,52
1001,Four-wheel drive,52
1002,Rear-wheel drive,41
1003,Front-wheel drive,115
1004,Front-wheel drive,214
1005,Front-wheel drive,214
1006,Front-wheel drive,214
1007,Front-wheel drive,148
1008,Front-wheel drive,148
1009,Front-wheel drive,150
1010,Front-wheel drive,150
1011,Front-wheel drive,190
1012,Front-wheel drive,190
1013,Front-wheel drive,190
1014,Front-wheel drive,190
1015,Front-wheel drive,190
1016,Front-wheel drive,190
1017,Front-wheel drive,190
1018,Front-wheel drive,190
1019,Front-wheel drive,190
1020,Front-wheel drive,190
1021,Front-wheel drive,190
1022,Front-wheel drive,190
1023,Front-wheel drive,190
1024,Front-wheel drive,190
1025,Front-wheel drive,190
1026,Front-wheel drive,190
1027,Front-wheel drive,193
1028,Front-wheel drive,193
1029,Front-wheel drive,193
1030,Front-wheel drive,193
1031,Front-wheel drive,193
1032,Front-wheel drive,193
1033,Front-wheel drive,193
1034,Front-wheel drive,193
1035,Front-wheel drive,193
1036,Front-wheel drive,114
1037,Front-wheel drive,114
1038,Front-wheel drive,13
1039,Front-wheel drive,13
1040,All-wheel drive,13
1041,All-wheel drive,13
1042,All-wheel drive,13
1043,Front-wheel drive,13
1044,All-wheel drive,13
1045,Front-wheel drive,13
1046,Front-wheel drive,244
1047,Front-wheel drive,244
1048,Front-wheel drive,244
1049,Front-wheel drive,244
1050,Front-wheel drive,185
1051,Front-wheel drive,120
1052,Front-wheel drive,148
1053,All-wheel drive,120
1054,Front-wheel drive,120
1055,All-wheel drive,120
1056,Front-wheel drive,120
1057,Front-wheel drive,120
1058,All-wheel drive,148
1059,Front-wheel drive,148
1060,All-wheel drive,148
1061,Front-wheel drive,109
1062,Front-wheel drive,109
1063,Front-wheel drive,109
